,Tipo,Calendario,Clasificacion,Anio_prueba,Nombre_Colegio,Municipio,Departamento
4670,NO OFICIAL,A,A+,2018,COLEGIO CAMPESTRE  SAN JUAN DE LA LOMA,TULUÁ,VALLE DEL CAUCA
4671,NO OFICIAL,A,A+,2018,COLEGIO BILINGUE LOS ANGELES,AGUACHICA,CESAR
4672,NO OFICIAL,A,A+,2018,COL NAZARET,BELLO,ANTIOQUIA
4673,NO OFICIAL,A,A+,2018,COL BILINGUE DIVINO NIÑO                                                                           ,BUCARAMANGA,SANTANDER
4674,NO OFICIAL,A,A+,2018,INSTITUTO TÉCNICO MODERNO,GUADUAS,CUNDINAMARCA
4675,NO OFICIAL,A,A+,2018,COLEGIO DE LA PRESENTACION,PIEDECUESTA,SANTANDER
4676,NO OFICIAL,A,A+,2018,COLEGIO NUESTRA SEÑORA DEL ROSARIO,GIRARDOTA,ANTIOQUIA
4677,NO OFICIAL,A,A,2018,COL SANTA ISABEL DE HUNGRIA,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
4678,NO OFICIAL,A,A+,2018,CENTRO DE EDUCACION EL RECREO,CARTAGENA DE INDIAS,BOLÍVAR
4679,NO OFICIAL,A,A+,2018,COL SANTO DOMINGO SAVIO,ACACÍAS,META
4680,NO OFICIAL,A,A+,2018,INST DE EDUC ELEMENTAL PREESCOLAR Y SECUNDARIA  INELPRES,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
4681,NO OFICIAL,A,A+,2018,COL SANTA MARIA DEL ROSARIO,MEDELLÍN,ANTIOQUIA
4682,NO OFICIAL,A,A,2018,CENT EDUC SAN LUIS GONZAGA FE Y ALEGRIA,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
4683,NO OFICIAL,A,A+,2018,COL PROVINMA                                                                                        ,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
4684,NO OFICIAL,A,A+,2018,COL MIGUEL ANTONIO CARO                                                                             ,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
4685,NO OFICIAL,A,B,2018,LICEO TÉCNICO BILINGÜE PAULO FREIRE,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
